bs,seq,nh,nkv,hd,t_measured_ms
1,64,4,1,64,0.017415964975953102
1,64,4,1,128,0.017837039195001125
1,64,4,2,64,0.01726602204144001
1,64,4,2,128,0.01759605947881937
1,64,4,4,64,0.01716497354209423
1,64,4,4,128,0.01754600089043379
1,64,8,1,64,0.017205020412802696
1,64,8,1,128,0.017717014998197556
1,64,8,2,64,0.017304904758930206
1,64,8,2,128,0.017726910300552845
1,64,8,4,64,0.017316080629825592
1,64,8,4,128,0.017666025087237358
1,64,16,1,64,0.017315964214503765
1,64,16,1,128,0.017706071957945824
1,64,16,2,64,0.017286045476794243
1,64,16,2,128,0.01768604852259159
1,64,16,4,64,0.017236103303730488
1,64,16,4,128,0.01765601336956024
1,64,32,1,64,0.01739594154059887
1,64,32,1,128,0.01777603756636381
1,64,32,2,64,0.017375918105244637
1,64,32,2,128,0.017755897715687752
1,64,32,4,64,0.016283942386507988
1,64,32,4,128,0.017735990695655346
1,128,4,1,64,0.017075915820896626
1,128,4,1,128,0.02100097481161356
1,128,4,2,64,0.01713505480438471
1,128,4,2,128,0.020881067030131817
1,128,4,4,64,0.017084996215999126
1,128,4,4,128,0.020890962332487106
1,128,8,1,64,0.017215032130479813
1,128,8,1,128,0.020831008441746235
1,128,8,2,64,0.01713493838906288
1,128,8,2,128,0.02091203350573778
1,128,8,4,64,0.01668499317020178
1,128,8,4,128,0.019118073396384716
1,128,16,1,64,0.015393015928566456
1,128,16,1,128,0.020861043594777584
1,128,16,2,64,0.017205020412802696
1,128,16,2,128,0.020920997485518456
1,128,16,4,64,0.017186044715344906
1,128,16,4,128,0.02085999585688114
1,128,32,1,64,0.017224927432835102
1,128,32,1,128,0.020890962332487106
1,128,32,2,64,0.017235055565834045
1,128,32,2,128,0.02094102092087269
1,128,32,4,64,0.01723598688840866
1,128,32,4,128,0.020951032638549805
1,256,4,1,64,0.019628903828561306
1,256,4,1,128,0.023415079340338707
1,256,4,2,64,0.01788698136806488
1,256,4,2,128,0.023334985598921776
1,256,4,4,64,0.01954904291778803
1,256,4,4,128,0.02344499807804823
1,256,8,1,64,0.0196180772036314
1,256,8,1,128,0.021542073227465153
1,256,8,2,64,0.01870805863291025
1,256,8,2,128,0.02344499807804823
1,256,8,4,64,0.01956906635314226
1,256,8,4,128,0.023465021513402462
1,256,16,1,64,0.019628903828561306
1,256,16,1,128,0.023515080101788044
1,256,16,2,64,0.019640079699456692
1,256,16,2,128,0.0235049519687891
1,256,16,4,64,0.019558938220143318
1,256,16,4,128,0.02344499807804823
1,256,32,1,64,0.019619008526206017
1,256,32,1,128,0.029604067094624043
1,256,32,2,64,0.019629020243883133
1,256,32,2,128,0.03174692392349243
1,256,32,4,64,0.019629020243883133
1,256,32,4,128,0.03167707473039627
1,512,4,1,64,0.023465021513402462
1,512,4,1,128,0.024495995603501797
1,512,4,2,64,0.023194937966763973
1,512,4,2,128,0.024326960556209087
1,512,4,4,64,0.022493069991469383
1,512,4,4,128,0.02352509181946516
1,512,8,1,64,0.02247304655611515
1,512,8,1,128,0.030635972507297993
1,512,8,2,64,0.023465021513402462
1,512,8,2,128,0.03063492476940155
1,512,8,4,64,0.023465021513402462
1,512,8,4,128,0.030635041184723377
1,512,16,1,64,0.027621048502624035
1,512,16,1,128,0.037816003896296024
1,512,16,2,64,0.027560978196561337
1,512,16,2,128,0.037816003896296024
1,512,16,4,64,0.027570989914238453
1,512,16,4,128,0.03780599217861891
1,512,32,1,64,0.024687033146619797
1,512,32,1,128,0.05518202669918537
1,512,32,2,64,0.024675973691046238
1,512,32,2,128,0.055202050134539604
1,512,32,4,64,0.024726963602006435
1,512,32,4,128,0.055212993174791336
1,1024,4,1,64,0.027270987629890442
1,1024,4,1,128,0.03554299473762512
1,1024,4,2,64,0.027560978196561337
1,1024,4,2,128,0.03667408600449562
1,1024,4,4,64,0.02657901495695114
1,1024,4,4,128,0.03588409163057804
1,1024,8,1,64,0.032588024623692036
1,1024,8,1,128,0.053870026022195816
1,1024,8,2,64,0.03278802614659071
1,1024,8,2,128,0.05326909013092518
1,1024,8,4,64,0.0327590387314558
1,1024,8,4,128,0.05415093619376421
1,1024,16,1,64,0.04900305066257715
1,1024,16,1,128,0.07257796823978424
1,1024,16,2,64,0.047700945287942886
1,1024,16,2,128,0.07177609950304031
1,1024,16,4,64,0.048993038944900036
1,1024,16,4,128,0.07209705654531717
1,1024,32,1,64,0.050445087254047394
1,1024,32,1,128,0.09472097735852003
1,1024,32,2,64,0.050634960643947124
1,1024,32,2,128,0.09449094068259001
1,1024,32,4,64,0.05066592711955309
1,1024,32,4,128,0.09463098831474781
1,2048,4,1,64,0.0470699742436409
1,2048,4,1,128,0.07264805026352406
1,2048,4,2,64,0.04701002035290003
1,2048,4,2,128,0.07250800263136625
1,2048,4,4,64,0.04799105226993561
1,2048,4,4,128,0.07262697909027338
1,2048,8,1,64,0.06344506982713938
1,2048,8,1,128,0.10846101213246584
1,2048,8,2,64,0.06434600800275803
1,2048,8,2,128,0.1076599583029747
1,2048,8,4,64,0.06343401037156582
1,2048,8,4,128,0.1085010590031743
1,2048,16,1,64,0.08917204104363918
1,2048,16,1,128,0.16495399177074432
1,2048,16,2,64,0.0954819843173027
1,2048,16,2,128,0.165045028552413
1,2048,16,4,64,0.08898205123841763
1,2048,16,4,128,0.16487494576722383
1,2048,32,1,64,0.12358289677649736
1,2048,32,1,128,0.24019600823521614
1,2048,32,2,64,0.122882891446352
1,2048,32,2,128,0.23937493097037077
1,2048,32,4,64,0.12311304453760386
1,2048,32,4,128,0.23999693803489208
1,3358,4,1,64,0.07654400542378426
1,3358,4,1,128,0.12078892905265093
