bs,seq,nh,nkv,hd,t_measured_ms
1,64,2,1,64,0.09250640869140625
1,64,2,1,128,0.12320862151682377
1,64,2,2,64,0.09033293463289738
1,64,2,2,128,0.09346287697553635
1,64,2,4,64,-1.0
1,64,2,4,128,-1.0
1,64,2,8,64,-1.0
1,64,2,8,128,-1.0
1,64,4,1,64,0.08935038931667805
1,64,4,1,128,0.07755355909466743
1,64,4,2,64,0.11670147068798542
1,64,4,2,128,0.1015891321003437
1,64,4,4,64,0.08768751285970211
1,64,4,4,128,0.08813920430839062
1,64,4,8,64,-1.0
1,64,4,8,128,-1.0
1,64,8,1,64,0.10122801177203655
1,64,8,1,128,0.0955117866396904
1,64,8,2,64,0.09778584353625774
1,64,8,2,128,0.09942450560629368
1,64,8,4,64,0.08795782923698425
1,64,8,4,128,0.08982676081359386
1,64,8,8,64,0.08706655353307724
1,64,8,8,128,0.08653104305267334
1,64,16,1,64,0.08881487883627415
1,64,16,1,128,0.08804840035736561
1,64,16,2,64,0.0876870471984148
1,64,16,2,128,0.08634990081191063
1,64,16,4,64,0.08872454054653645
1,64,16,4,128,0.0892961397767067
1,64,16,8,64,0.08786306716501713
1,64,16,8,128,0.08675036951899529
1,64,32,1,64,0.08661579340696335
1,64,32,1,128,0.08715689182281494
1,64,32,2,64,0.08692150004208088
1,64,32,2,128,0.08621509186923504
1,64,32,4,64,0.08626002818346024
1,64,32,4,128,0.08603953756392002
1,64,32,8,64,0.08817319758236408
1,64,32,8,128,0.09131990373134613
1,64,64,1,64,0.087416497990489
1,64,64,1,128,0.0941399484872818
1,64,64,2,64,0.08646049536764622
1,64,64,2,128,0.08892989717423916
1,64,64,4,64,0.08844397962093353
1,64,64,4,128,0.09022210724651814
1,64,64,8,64,0.08682557381689548
1,64,64,8,128,0.08935597725212574
1,128,2,1,64,0.09088357910513878
1,128,2,1,128,0.08600950241088867
1,128,2,2,64,0.09880377911031246
1,128,2,2,128,0.09188055992126465
1,128,2,4,64,-1.0
1,128,2,4,128,-1.0
1,128,2,8,64,-1.0
1,128,2,8,128,-1.0
1,128,4,1,64,0.08754688315093517
1,128,4,1,128,0.08660578168928623
1,128,4,2,64,0.08709123358130455
1,128,4,2,128,0.08800346404314041
1,128,4,4,64,0.08756713941693306
1,128,4,4,128,0.09200046770274639
1,128,4,8,64,-1.0
1,128,4,8,128,-1.0
1,128,8,1,64,0.08773268200457096
1,128,8,1,128,0.08769240230321884
1,128,8,2,64,0.08703651838004589
1,128,8,2,128,0.08581881411373615
1,128,8,4,64,0.09372388012707233
1,128,8,4,128,0.08879508823156357
1,128,8,8,64,0.08714664727449417
1,128,8,8,128,0.08724699728190899
1,128,16,1,64,0.08647609502077103
1,128,16,1,128,0.10325131006538868
1,128,16,2,64,0.08685141801834106
1,128,16,2,128,0.09190523996949196
1,128,16,4,64,0.10555540211498737
1,128,16,4,128,0.10316702537238598
