M,N,K,t_measured_ms
2,256,256,0.014941906556487083
2,256,512,0.016764039173722267
2,256,1024,0.01744600012898445
2,256,2048,0.018727034330368042
2,256,2885,-1.0
2,256,4096,0.021371990442276
2,256,6227,-1.0
2,256,8192,0.021502026356756687
2,256,12632,-1.0
2,256,13940,-1.0
2,256,15254,-1.0
2,256,16384,0.022032996639609337
2,512,256,0.01641490962356329
2,512,512,0.01665495801717043
2,512,1024,0.017335987649857998
2,512,2048,0.018727965652942657
2,512,2885,-1.0
2,512,4096,0.020159990526735783
2,512,6227,-1.0
2,512,8192,0.02344499807804823
2,512,12632,-1.0
2,512,13940,-1.0
2,512,15254,-1.0
2,512,16384,0.022573978640139103
2,1024,256,0.016375095583498478
2,1024,512,0.016683945432305336
2,1024,1024,0.017375918105244637
2,1024,2048,0.018768012523651123
2,1024,2885,-1.0
2,1024,4096,0.020210049115121365
2,1024,6227,-1.0
2,1024,8192,0.022061984054744244
2,1024,12632,-1.0
2,1024,13940,-1.0
2,1024,15254,-1.0
2,1024,16384,0.023314962163567543
2,2048,256,0.016483943909406662
2,2048,512,0.01729605719447136
2,2048,1024,0.017505954019725323
2,2048,2048,0.01874798908829689
2,2048,2885,-1.0
2,2048,4096,0.02079096157103777
2,2048,6227,-1.0
2,2048,8192,0.02209295053035021
2,2048,12632,-1.0
2,2048,13940,-1.0
2,2048,15254,-1.0
2,2048,16384,0.02509704791009426
2,2127,256,-1.0
2,2127,512,-1.0
2,2127,1024,-1.0
2,2127,2048,-1.0
2,2127,2885,-1.0
2,2127,4096,-1.0
2,2127,6227,-1.0
2,2127,8192,-1.0
2,2127,12632,-1.0
2,2127,13940,-1.0
2,2127,15254,-1.0
2,2127,16384,-1.0
2,4096,256,0.016805017367005348
2,4096,512,0.017366022802889347
2,4096,1024,0.018207007087767124
2,4096,2048,0.020129955373704433
2,4096,2885,-1.0
2,4096,4096,0.02158200368285179
2,4096,6227,-1.0
2,4096,8192,0.024667009711265564
2,4096,12632,-1.0
2,4096,13940,-1.0
2,4096,15254,-1.0
2,4096,16384,0.030415947549045086
2,5268,256,-1.0
2,5268,512,-1.0
2,5268,1024,-1.0
2,5268,2048,-1.0
2,5268,2885,-1.0
2,5268,4096,-1.0
2,5268,6227,-1.0
2,5268,8192,-1.0
2,5268,12632,-1.0
2,5268,13940,-1.0
2,5268,15254,-1.0
2,5268,16384,-1.0
2,8192,256,0.016874982975423336
2,8192,512,0.017486046999692917
2,8192,1024,0.016564037650823593
2,8192,2048,0.019439030438661575
2,8192,2885,-1.0
2,8192,4096,0.0230640871450305
2,8192,6227,-1.0
2,8192,8192,0.029293936677277088
2,8192,12632,-1.0
2,8192,13940,-1.0
2,8192,15254,-1.0
2,8192,16384,0.049964990466833115
2,9372,256,-1.0
2,9372,512,-1.0
2,9372,1024,-1.0
2,9372,2048,-1.0
2,9372,2885,-1.0
2,9372,4096,-1.0
2,9372,6227,-1.0
2,9372,8192,-1.0
2,9372,12632,-1.0
2,9372,13940,-1.0
2,9372,15254,-1.0
2,9372,16384,-1.0
2,13896,256,-1.0
2,13896,512,-1.0
2,13896,1024,-1.0
2,13896,2048,-1.0
2,13896,2885,-1.0
2,13896,4096,-1.0
2,13896,6227,-1.0
2,13896,8192,-1.0
2,13896,12632,-1.0
2,13896,13940,-1.0
2,13896,15254,-1.0
2,13896,16384,-1.0
2,14440,256,-1.0
2,14440,512,-1.0
2,14440,1024,-1.0
2,14440,2048,-1.0
2,14440,2885,-1.0
2,14440,4096,-1.0
2,14440,6227,-1.0
2,14440,8192,-1.0
2,14440,12632,-1.0
2,14440,13940,-1.0
2,14440,15254,-1.0
2,14440,16384,-1.0
2,16384,256,0.01766590867191553
2,16384,512,0.018947990611195564
2,16384,1024,0.0203009694814682
2,16384,2048,0.024175969883799553
2,16384,2885,-1.0
2,16384,4096,0.031736912205815315
2,16384,6227,-1.0
2,16384,8192,0.04767999053001404
2,16384,12632,-1.0
2,16384,13940,-1.0
2,16384,15254,-1.0
2,16384,16384,0.20213995594531298
4,256,256,0.016223988495767117
4,256,512,0.015662983059883118
4,256,1024,0.017174985259771347
4,256,2048,0.018647988326847553
4,256,2885,-1.0
4,256,4096,0.021092011593282223
4,256,6227,-1.0
4,256,8192,0.02247304655611515
4,256,12632,-1.0
4,256,13940,-1.0
4,256,15254,-1.0
4,256,16384,0.02220296300947666
4,512,256,0.01476204488426447
4,512,512,0.01663400325924158
4,512,1024,0.017345999367535114
4,512,2048,0.01865800004452467
4,512,2885,-1.0
4,512,4096,0.0201700022444129
4,512,6227,-1.0
4,512,8192,0.023434986360371113
4,512,12632,-1.0
4,512,13940,-1.0
4,512,15254,-1.0
4,512,16384,0.022592954337596893
4,1024,256,0.016404082998633385
4,1024,512,0.01685507595539093
4,1024,1024,0.017405953258275986
4,1024,2048,0.018797931261360645
4,1024,2885,-1.0
4,1024,4096,0.020309933461248875
4,1024,6227,-1.0
4,1024,8192,0.021993066184222698
4,1024,12632,-1.0
4,1024,13940,-1.0
4,1024,15254,-1.0
4,1024,16384,0.02334394957870245
4,2048,256,0.01639395486563444
4,2048,512,0.016764970496296883
4,2048,1024,0.017465907149016857
4,2048,2048,0.01877802424132824
4,2048,2885,-1.0
4,2048,4096,0.020730076357722282
4,2048,6227,-1.0
4,2048,8192,0.02205302007496357
4,2048,12632,-1.0
4,2048,13940,-1.0
4,2048,15254,-1.0
4,2048,16384,0.025258050300180912
4,2127,256,-1.0
4,2127,512,-1.0
4,2127,1024,-1.0
4,2127,2048,-1.0
4,2127,2885,-1.0
4,2127,4096,-1.0
4,2127,6227,-1.0
4,2127,8192,-1.0
4,2127,12632,-1.0
4,2127,13940,-1.0
4,2127,15254,-1.0
4,2127,16384,-1.0
4,4096,256,0.016795005649328232
4,4096,512,0.017216079868376255
4,4096,1024,0.017435988411307335
4,4096,2048,0.01883797813206911
4,4096,2885,-1.0
4,4096,4096,0.02393603790551424
4,4096,6227,-1.0
4,4096,8192,0.023775966838002205
4,4096,12632,-1.0
4,4096,13940,-1.0
4,4096,15254,-1.0
4,4096,16384,0.030675088055431843
4,5268,256,-1.0
4,5268,512,-1.0
4,5268,1024,-1.0
4,5268,2048,-1.0
4,5268,2885,-1.0
4,5268,4096,-1.0
4,5268,6227,-1.0
4,5268,8192,-1.0
4,5268,12632,-1.0
4,5268,13940,-1.0
4,5268,15254,-1.0
4,5268,16384,-1.0
4,8192,256,0.017045065760612488
4,8192,512,0.01725496258586645
4,8192,1024,0.01779699232429266
4,8192,2048,0.019779079593718052
4,8192,2885,-1.0
4,8192,4096,0.02430600579828024
4,8192,6227,-1.0
4,8192,8192,0.029413960874080658
4,8192,12632,-1.0
4,8192,13940,-1.0
4,8192,15254,-1.0
4,8192,16384,0.05072506610304117
4,9372,256,-1.0
4,9372,512,-1.0
4,9372,1024,-1.0
4,9372,2048,-1.0
4,9372,2885,-1.0
4,9372,4096,-1.0
4,9372,6227,-1.0
4,9372,8192,-1.0
