M,N,K,t_measured_ms
2,256,256,0.08460204117000103
2,256,512,0.0868265051394701
2,256,1024,0.08851895108819008
2,256,2048,0.08834456093609333
2,256,4096,0.11192262172698975
2,256,8192,0.16127410344779491
2,512,256,0.10538054630160332
2,512,512,0.10212510824203491
2,512,1024,0.10555540211498737
2,512,2048,0.08683092892169952
2,512,4096,0.12313341721892357
2,512,8192,0.18570455722510815
2,1024,256,0.1009870320558548
2,1024,512,0.11656153947114944
2,1024,1024,0.12325355783104897
2,1024,2048,0.10279030539095402
2,1024,4096,0.1343446783721447
2,1024,8192,0.19392999820411205
2,2048,256,0.09909854270517826
2,2048,512,0.09950390085577965
2,2048,1024,0.10102195665240288
2,2048,2048,0.10702828876674175
2,2048,4096,0.1405305229127407
2,2048,8192,0.21744845435023308
2,4096,256,0.08572894148528576
2,4096,512,0.1177533995360136
2,4096,1024,0.10754959657788277
2,4096,2048,0.11323508806526661
2,4096,4096,0.1697293482720852
2,4096,8192,0.22786320187151432
2,8192,256,0.09924895130097866
2,8192,512,0.10178377851843834
2,8192,1024,0.10315096005797386
2,8192,2048,0.15369988977909088
2,8192,4096,0.2519472036510706
2,8192,8192,0.3962297923862934
4,256,256,0.1162155531346798
4,256,512,0.10375701822340488
4,256,1024,0.10509509593248367
4,256,2048,0.11775852181017399
4,256,4096,0.12429594062268734
4,256,8192,0.16461615450680256
4,512,256,0.10018586181104183
4,512,512,0.10037585161626339
4,512,1024,0.10117259807884693
4,512,2048,0.10224455036222935
4,512,4096,0.1317544374614954
4,512,8192,0.17602159641683102
4,1024,256,0.0961432233452797
4,1024,512,0.09557255543768406
4,1024,1024,0.09241700172424316
4,1024,2048,0.09508593939244747
4,1024,4096,0.1242305152118206
4,1024,8192,0.18229358829557896
4,2048,256,0.12177065946161747
4,2048,512,0.11600484140217304
4,2048,1024,0.11094030924141407
4,2048,2048,0.11543417349457741
4,2048,4096,0.1498982310295105
4,2048,8192,0.21868105977773666
4,4096,256,0.09725545533001423
4,4096,512,0.1138059888035059
4,4096,1024,0.11126650497317314
4,4096,2048,0.11062016710639
4,4096,4096,0.13869255781173706
4,4096,8192,0.23868284188210964
4,8192,256,0.10746368207037449
4,8192,512,0.10763993486762047
4,8192,1024,0.1320245210081339
4,8192,2048,0.15756255015730858
4,8192,4096,0.2376600168645382
4,8192,8192,0.3795840311795473
8,256,256,0.06987946107983589
8,256,512,0.06800144910812378
8,256,1024,0.06754067726433277
