seq,dim,t_measured_ms
2,128,0.08466700091958046
2,256,0.07747899508103728
2,512,0.11349597480148077
2,1024,0.10955799371004105
2,2048,0.11449703015387058
2,4096,0.11350598651915789
2,8192,0.184246979188174
4,128,0.10955298785120249
4,256,0.07548503344878554
4,512,0.10913750156760216
4,1024,0.09656953625380993
4,2048,0.11046050349250436
4,4096,0.11022941907867789
4,8192,0.18627545796334743
8,128,0.07985852425917983
8,256,0.0748590100556612
8,512,0.0780145637691021
8,1024,0.07597595686092973
8,2048,0.07800903404131532
8,4096,0.09794154902920127
8,8192,0.183755939360708
16,128,0.07758400170132518
16,256,0.07679249392822385
16,512,0.07659150287508965
16,1024,0.07649697363376617
16,2048,0.07807946531102061
16,4096,0.09720050729811192
16,8192,0.1834499998949468
32,128,0.07948750862851739
32,256,0.07699296111240983
32,512,0.08005800191313028
32,1024,0.07521954830735922
32,2048,0.07932749576866627
32,4096,0.09946455247700214
32,8192,0.18274900503456593
64,128,0.08235301356762648
64,256,0.07867597742006183
64,512,0.0786365126259625
64,1024,0.07891654968261719
64,2048,0.07799995364621282
64,4096,0.09680999210104346
64,8192,0.17968349857255816
128,128,0.07780949817970395
128,256,0.07847603410482407
128,512,0.07876602467149496
128,1024,0.08169648936018348
128,2048,0.07881596684455872
128,4096,0.09745551506057382
128,8192,0.18086604541167617
256,128,0.08048949530348182
256,256,0.07878098404034972
256,512,0.07834500866010785
256,1024,0.08001347305253148
256,2048,0.08123600855469704
256,4096,0.09829254122450948
256,8192,0.1819830504246056
512,128,0.1121130189858377
512,256,0.10962353553622961
512,512,0.0786304590292275
512,1024,0.11167250340804458
512,2048,0.11168699711561203
512,4096,0.11097599053755403
512,8192,0.18874049419537187
1024,128,0.08075509686022997
1024,256,0.08002354297786951
1024,512,0.08157145930454135
1024,1024,0.0831989455036819
1024,2048,0.09054300608113408
1024,4096,0.12735655764117837
1024,8192,0.2533200313337147
2048,128,0.114261987619102
2048,256,0.08284900104627013
2048,512,0.11342053767293692
2048,1024,0.11412147432565689
2048,2048,0.12557796435430646
2048,4096,0.1844064681790769
2048,8192,0.36498199915513396
4096,128,0.09237648919224739
4096,256,0.09492551907896996
4096,512,0.1041275099851191
4096,1024,0.11763354996219277
4096,2048,0.17499452224001288
4096,4096,0.2919064718298614
4096,8192,0.7144199917092919
8192,128,0.059290032368153334
8192,256,0.06887299241498113
8192,512,0.0944394851103425
8192,1024,0.14475849457085133
8192,2048,0.24530949303880334
8192,4096,0.44011150021106005
8192,8192,1.3085724785923958
