seq,dim,t_measured_ms
64,256,0.010865973308682442
64,266,0.011006020940840244
64,512,0.010765972547233105
64,659,0.010785995982587337
64,1024,0.010776100680232048
64,1737,0.010885996744036674
64,1805,0.01101603265851736
64,2048,0.010785995982587337
64,2343,0.010925927199423313
64,2806,0.010877032764256
64,2996,0.010816031135618687
64,3424,0.010897056199610233
64,4013,0.011106953024864197
64,4096,0.01093593891710043
64,4175,0.011155963875353336
64,4491,0.011036987416446209
64,5953,0.010916031897068024
64,6137,0.011125928722321987
64,6202,0.01111708115786314
64,6549,0.010946067050099373
64,6591,0.011325930245220661
64,6957,0.011176918633282185
64,7344,0.010946067050099373
64,8192,0.010996009223163128
128,256,0.010875985026359558
128,266,0.010796007700264454
128,512,0.010785995982587337
128,659,0.009695068001747131
128,1024,0.009863986633718014
128,1737,0.010114978067576885
128,1805,0.010996009223163128
128,2048,0.009694020263850689
128,2343,0.011075986549258232
128,2806,0.011085998266935349
128,2996,0.010965974070131779
128,3424,0.010957010090351105
128,4013,0.011077034287154675
128,4096,0.010996009223163128
128,4175,0.011186930350959301
128,4491,0.011087046004831791
128,5953,0.01126597635447979
128,6137,0.011247000657022
128,6202,0.011216034181416035
128,6549,0.01130695454776287
128,6591,0.011236988939344883
128,6957,0.011177035048604012
128,7344,0.011277035810053349
128,8192,0.011396943591535091
256,256,0.010765972547233105
256,266,0.009895069524645805
256,512,0.010706018656492233
256,659,0.01092604361474514
256,1024,0.00908400397747755
256,1737,0.009163981303572655
256,1805,0.009173061698675156
256,2048,0.010975985787808895
256,2343,0.011177035048604012
256,2806,0.011167023330926895
256,2996,0.011185999028384686
256,3424,0.011217081919312477
256,4013,0.011447002179920673
256,4096,0.011397060006856918
256,4175,0.011406955309212208
256,4491,0.011416967026889324
256,5953,0.011658063158392906
256,6137,0.011847936548292637
256,6202,0.0117570161819458
256,6549,0.011826981790363789
256,6591,0.011806958355009556
256,6957,0.011908006854355335
256,7344,0.011908006854355335
256,8192,0.012048054486513138
512,256,0.010855961591005325
512,266,0.010846066288650036
512,512,0.009273062460124493
512,659,0.011035939678549767
512,1024,0.010996009223163128
512,1737,0.011326977983117104
512,1805,0.011357013136148453
512,2048,0.011526979506015778
512,2343,0.011647003702819347
512,2806,0.011787982657551765
512,2996,0.011777039617300034
512,3424,0.011918018572032452
512,4013,0.012088101357221603
512,4096,0.01214898657053709
512,4175,0.012218020856380463
512,4491,0.012248987331986427
512,5953,0.012609059922397137
512,6137,0.012778909876942635
512,6202,0.012699048966169357
512,6549,0.012959935702383518
512,6591,0.01296901609748602
512,6957,0.013069016858935356
512,7344,0.01325993798673153
512,8192,0.013360055163502693
1024,256,0.010915915481746197
1024,266,0.010885996744036674
1024,512,0.011007068678736687
1024,659,0.011167023330926895
1024,1024,0.011497060768306255
1024,1737,0.011977972462773323
1024,1805,0.01198798418045044
1024,2048,0.012147938832640648
1024,2343,0.012218020856380463
1024,2806,0.012538977898657322
1024,2996,0.012659002095460892
1024,3424,0.012998934835195541
1024,4013,0.013279030099511147
1024,4096,0.01346995122730732
1024,4175,0.01355994027107954
1024,4491,0.013759941793978214
1024,5953,0.014751916751265526
1024,6137,0.01493294257670641
1024,6202,0.01493294257670641
1024,6549,0.015152967534959316
1024,6591,0.015201978385448456
1024,6957,0.015381956472992897
1024,7344,0.015603029169142246
1024,8192,0.016194069758057594
1679,256,0.01114595215767622
1679,266,0.010965974070131779
1679,512,0.01130695454776287
1679,659,0.011567026376724243
1679,1024,0.011938042007386684
1679,1737,0.012508942745625973
1679,1805,0.012688920833170414
1679,2048,0.012918957509100437
1679,2343,0.013330020010471344
1679,2806,0.012097996659576893
1679,2996,0.012248056009411812
1679,3424,0.012808013707399368
1679,4013,0.015193014405667782
1679,4096,0.015283003449440002
1679,4175,0.015361933037638664
1679,4491,0.015663099475204945
1679,5953,0.01707498449832201
1679,6137,0.017295940779149532
1679,6202,0.017366022802889347
1679,6549,0.017686979845166206
1679,6591,0.017776968888938427
1679,6957,0.018076971173286438
1679,7344,0.018396996892988682
1679,8192,0.01924892421811819
2048,256,0.01101603265851736
2048,266,0.011046999134123325
2048,512,0.011506956070661545
2048,659,0.011656899005174637
2048,1024,0.012028031051158905
2048,1737,0.013048993423581123
2048,1805,0.013129087164998055
2048,2048,0.013390090316534042
2048,2343,0.013911048881709576
2048,2806,0.014581019058823586
2048,2996,0.014811987057328224
2048,3424,0.015342957340180874
2048,4013,0.015984056517481804
2048,4096,0.01621397677809
2048,4175,0.016214093193411827
2048,4491,0.016674050129950047
2048,5953,0.018396996892988682
2048,6137,0.01861806958913803
2048,6202,0.018678023479878902
2048,6549,0.019097933545708656
2048,6591,0.019078957848250866
2048,6957,0.0196089968085289
2048,7344,0.019900035113096237
2048,8192,0.02105103339999914
2100,256,0.011085998266935349
2100,266,0.011136988177895546
2100,512,0.01145701389759779
2100,659,0.010665971785783768
2100,1024,0.01120707020163536
2100,1737,0.013030017726123333
2100,1805,0.012277974747121334
2100,2048,0.01367006916552782
2100,2343,0.014050048775970936
2100,2806,0.014652032405138016
2100,2996,0.014912104234099388
2100,3424,0.015483004972338676
2100,4013,0.01621397677809
2100,4096,0.01625495497137308
2100,4175,0.016344944015145302
2100,4491,0.016734935343265533
2100,5953,0.018527032807469368
2100,6137,0.018817954696714878
2100,6202,0.018057064153254032
2100,6549,0.019268947653472424
2100,6591,0.017456011846661568
2100,6957,0.01812702976167202
2100,7344,0.020239967852830887
2100,8192,0.021302024833858013
2277,256,0.01104606781154871
2277,266,0.011185999028384686
2277,512,0.011557014659047127
2277,659,0.0117479357868433
2277,1024,0.01219799742102623
2277,1737,0.013289973139762878
2277,1805,0.013499986380338669
2277,2048,0.013740034773945808
2277,2343,0.014321994967758656
2277,2806,0.014962977729737759
2277,2996,0.015203026123344898
2277,3424,0.015883008018136024
2277,4013,0.016595004126429558
2277,4096,0.016815029084682465
2277,4175,0.016845064237713814
2277,4491,0.017285929061472416
2277,5953,0.019187922589480877
2277,6137,0.019439030438661575
2277,6202,0.01966895069926977
2277,6549,0.019988976418972015
2277,6591,0.020069070160388947
2277,6957,0.020500971004366875
2277,7344,0.020990963093936443
2277,8192,0.02205302007496357
4096,256,0.011507072485983372
4096,266,0.011467025615274906
4096,512,0.01200695987790823
4096,659,0.012338045053184032
4096,1024,0.013369950465857983
4096,1737,0.015362980775535107
4096,1805,0.015552970580756664
4096,2048,0.01612398773431778
4096,2343,0.016764970496296883
4096,2806,0.017996993847191334
4096,2996,0.018347054719924927
4096,3424,0.019419007003307343
4096,4013,0.020761042833328247
4096,4096,0.021001091226935387
4096,4175,0.021181069314479828
4096,4491,0.021882005967199802
4096,5953,0.02537702675908804
4096,6137,0.025647925212979317
4096,6202,0.025928020477294922
4096,6549,0.026940018869936466
4096,6591,0.027000089175999165
4096,6957,0.02668006345629692
4096,7344,0.027099973522126675
4096,8192,0.03157695755362511
5011,256,0.011748052202165127
5011,266,0.011627096682786942
5011,512,0.012418022379279137
5011,659,0.013079028576612473
5011,1024,0.014140969142317772
5011,1737,0.016383943147957325
5011,1805,0.016523990780115128
5011,2048,0.01726602204144001
5011,2343,0.018137041479349136
5011,2806,0.01951900776475668
5011,2996,0.019928906112909317
5011,3424,0.02133101224899292
5011,4013,0.02288399264216423
5011,4096,0.02309400588274002
5011,4175,0.02328399568796158
5011,4491,0.02427597064524889
5011,5953,0.028863083571195602
5011,6137,0.029483926482498646
5011,6202,0.029613962396979332
5011,6549,0.030695926398038864
5011,6591,0.030995928682386875
5011,6957,0.056042918004095554
5011,7344,0.08714001160115004
5011,8192,0.09901693556457758
5100,256,0.011606956832110882
5100,266,0.011818017810583115
5100,512,0.012297998182475567
5100,659,0.01283909659832716
5100,1024,0.013499986380338669
5100,1737,0.015542958863079548
5100,1805,0.01668499317020178
5100,2048,0.01735496334731579
5100,2343,0.017896993085741997
5100,2806,0.017777085304260254
5100,2996,0.02006895374506712
5100,3424,0.021332059986889362
5100,4013,0.023053959012031555
5100,4096,0.022483058273792267
5100,4175,0.02353498712182045
5100,4491,0.024406006559729576
5100,5953,0.02902303822338581
5100,6137,0.029433052986860275
5100,6202,0.02981501165777445
5100,6549,0.03152701538056135
5100,6591,0.03333005588501692
5100,6957,0.07752492092549801
5100,7344,0.09010406211018562
5100,8192,0.10271207429468632
5223,256,0.010645948350429535
5223,266,0.011816970072686672
5223,512,0.01236889511346817
5223,659,0.011686934158205986
5223,1024,0.014271005056798458
5223,1737,0.016573932953178883
5223,1805,0.016784993931651115
5223,2048,0.017556012608110905
5223,2343,0.01841795165091753
5223,2806,0.019708997569978237
5223,2996,0.020401086658239365
5223,3424,0.021071056835353374
5223,4013,0.02333405427634716
5223,4096,0.02261402551084757
5223,4175,0.022073043510317802
5223,4491,0.024597044102847576
5223,5953,0.029552960768342018
5223,6137,0.030215014703571796
5223,6202,0.03032502718269825
5223,6549,0.04093092866241932
5223,6591,0.04465598613023758
5223,6957,0.08565699681639671
5223,7344,0.09656301699578762
5223,8192,0.10460498742759228
7134,256,0.011977972462773323
7134,266,0.011928030289709568
7134,512,0.0130099942907691
7134,659,0.013891025446355343
7134,1024,0.01559301745146513
7134,1737,0.018437043763697147
7134,1805,0.01868803519755602
7134,2048,0.019719009287655354
7134,2343,0.020980951376259327
7134,2806,0.02288399264216423
7134,2996,0.023555010557174683
7134,3424,0.025467947125434875
7134,4013,0.028101960197091103
7134,4096,0.02844200935214758
7134,4175,0.028743059374392033
7134,4491,0.03002502489835024
7134,5953,0.10496506001800299
7134,6137,0.10898197069764137
7134,6202,0.11261797044426203
7134,6549,0.12266193516552448
7134,6591,0.12466497719287872
7134,6957,0.13276690151542425
7134,7344,0.14775898307561874
7134,8192,0.16602606046944857
8192,256,0.012048054486513138
8192,266,0.012138043530285358
8192,512,0.013449927791953087
8192,659,0.014320947229862213
8192,1024,0.016173929907381535
8192,1737,0.019468949176371098
8192,1805,0.019810046069324017
8192,2048,0.020951032638549805
8192,2343,0.022313091903924942
8192,2806,0.02439599484205246
8192,2996,0.025468063540756702
8192,3424,0.027741072699427605
8192,4013,0.030935974791646004
8192,4096,0.03165705129504204
8192,4175,0.03924802877008915
8192,4491,0.08664897177368402
8192,5953,0.1311550149694085
8192,6137,0.1363219926133752
8192,6202,0.1395869767293334
8192,6549,0.1521760132163763
8192,6591,0.15212595462799072
8192,6957,0.16083905939012766
8192,7344,0.1715839607641101
8192,8192,0.1903229858726263
8905,256,0.012067961506545544
8905,266,0.011206022463738918
8905,512,0.013691023923456669
8905,659,0.014691962860524654
8905,1024,0.016524922102689743
8905,1737,0.020289910025894642
8905,1805,0.020540901459753513
8905,2048,0.021721934899687767
8905,2343,0.023275031708180904
8905,2806,0.0256979838013649
8905,2996,0.026940018869936466
8905,3424,0.0290930038318038
8905,4013,0.08462602272629738
8905,4096,0.08620810694992542
8905,4175,0.0888920621946454
8905,4491,0.09837700054049492
8905,5953,0.15094398986548185
8905,6137,0.1558009535074234
8905,6202,0.1570630120113492
8905,6549,0.16560591757297516
8905,6591,0.16656704246997833
8905,6957,0.17592101357877254
8905,7344,0.1849350519478321
8905,8192,0.20723696798086166
9032,256,0.011146999895572662
9032,266,0.01135596539825201
9032,512,0.013720011338591576
