seq,dim,t_measured_ms
2,1024,0.16131403390318155
2,2048,0.1551629975438118
2,4096,0.19314297242090106
2,8192,0.1913844607770443
4,1024,0.1880084746517241
4,2048,0.18758850637823343
4,4096,0.17563108121976256
4,8192,0.1906484249047935
8,1024,0.1582939876243472
8,2048,0.1532344613224268
8,4096,0.184897449798882
8,8192,0.18879497656598687
16,1024,0.18228852422907948
16,2048,0.16149948351085186
16,4096,0.17313600983470678
16,8192,0.189426529686898
32,1024,0.186641002073884
32,2048,0.19121449440717697
32,4096,0.19346846966072917
32,8192,0.18890498904511333
64,1024,0.18097105203196406
64,2048,0.1618454698473215
64,4096,0.16190099995583296
64,8192,0.1859900658018887
128,1024,0.16133399913087487
128,2048,0.1553029869683087
128,4096,0.18761848332360387
128,8192,0.1854739966802299
256,1024,0.18675153842195868
256,2048,0.186560966540128
256,4096,0.18850446213036776
256,8192,0.18527399515733123
512,1024,0.1930930302478373
512,2048,0.18717750208452344
512,4096,0.18729304429143667
512,8192,0.18850999185815454
1024,1024,0.18932204693555832
1024,2048,0.1889455015771091
1024,4096,0.19156048074364662
1024,8192,0.21515897242352366
2048,1024,0.18784799613058567
2048,2048,0.18895050743594766
2048,4096,0.21526950877159834
2048,8192,0.28438755543902516
4096,1024,0.18127105431631207
4096,2048,0.19696052186191082
4096,4096,0.2505999873392284
4096,8192,0.5388545105233788
8192,1024,0.1657919492572546
8192,2048,0.23880304070189595
8192,4096,0.5343160009942949
8192,8192,1.209734007716179
